"Source:","/home/max/Documents/Elettronica/brick/slave-8in-8out/slave-8in-8out.kicad_sch"
"Date:","ven 17 dic 2021, 15:58:42"
"Tool:","Eeschema 5.99.0-unknown-9f841da98e~134~ubuntu20.04.1"
"Generator:","/usr/share/kicad-nightly/plugins/bom_csv_grouped_by_value.py"
"Component Count:","87"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"","","R46","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809301717_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","C25744"
"","","SW1","SW_DIP_x03","Switch:SW_DIP_x03","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm","~","skip"
"","","SW2","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","~","skip"
"","","U1","PCF8575","custom:PCF8575","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://www.ti.com/lit/ds/symlink/pcf8575.pdf","C12251"
"","","U2","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U3","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U4","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U5","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U6","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U7","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U8","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U9","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"","","U10","ULN2803A","Transistor_Array:ULN2803A","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf","C9683"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC"
"1","1","C1","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C49678"
"2","16","D1, D2, D3, D4, D5, D6, D7, D8, D9, D11, D13, D15, D17, D19, D21, D23","LED","Device:LED","LED_SMD:LED_0805_2012Metric","https://datasheet.lcsc.com/lcsc/2008201032_Foshan-NationStar-Optoelectronics-NCD0805R1_C84256.pdf","C84256"
"3","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~","skip"
"4","1","J1","Conn_01x06_Male","Connector:Conn_01x06_Male","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~","skip"
"5","2","J2, J9","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~","skip"
"6","1","J3","Conn_01x06_Female","Connector:Conn_01x06_Female","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Horizontal","~","skip"
"7","4","J4, J5, J6, J7","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","skip"
"8","1","J8","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical","~","skip"
"9","21","R1, R2, R5, R8, R19, R20, R21, R22, R23, R24, R25, R26, R28, R29, R30, R31, R34, R37, R40, R43, R46","10k","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1809301717_UNI-ROYAL-Uniroyal-Elec-0402WGF1002TCE_C25744.pdf","C25744"
"10","24","R3, R4, R6, R7, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R32, R33, R35, R36, R38, R39, R41, R42, R44, R45","680","Device:R","Resistor_SMD:R_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811011222_UNI-ROYAL-Uniroyal-Elec-0402WGF6801TCE_C25917.pdf","C25130"
"11","1","SW1","SW_DIP_x03","Switch:SW_DIP_x03","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm","~","skip"
"12","1","SW2","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_9.78x7.26mm_W7.62mm_P2.54mm","~","skip"
"13","1","U1","PCF8575","custom:PCF8575","Package_SO:SSOP-24_5.3x8.2mm_P0.65mm","https://www.ti.com/lit/ds/symlink/pcf8575.pdf","C12251"
"14","8","U2, U3, U4, U5, U6, U7, U8, U9","EL817","jlcpcb:EL817","jlcpcb:EL817","https://datasheet.lcsc.com/szlcsc/Everlight-Elec-EL817S1-C-TU-F_C106900.pdf","C106900"
"15","1","U10","ULN2803A","Transistor_Array:ULN2803A","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2803a.pdf","C9683"
